Team,Player,Birthplace,Latitude,Longitutde
Detroit Pistons,Brandon Knight,"Miami, Florida","25°46'31""N","80°12'32""W"
Miami Heat,Udonis Haslem,"Miami, Florida","25°46'31""N","80°12'32""W"
Portland TrailBlazers,Trevor Ariza,"Miami, Florida","25°46'31""N","80°12'32""W"
Toronto Raptors,Dewan Hernandez,"Miami, Florida","25°46'31""N","80°12'32""W"
Sacramento Kings,Justin James,"Port St. Lucie, Florida","27°16'33""N","80°21'18""W"
Utah Jazz,Tony Bradley,"Bartow, Florida","27°53'33""N","81°50'23""W"
Utah Jazz,Jordan Clarkson,"Tampa, Florida","27°58'05""N","82°28'35""W"
Charlotte Hornets,Dwayne Bacon,"Lakeland, Florida","28°02'28""N","81°57'32""W"
Charlotte Hornets,Joe Chealey,"Orlando, Florida","28°32'24""N","81°22'48""W"
Portland TrailBlazers,Anfernee Simons,"Altamonte Springs, Florida","28°39'41""N","81°23'31""W"
Atlanta Hawks,Vince Carter,"Daytona Beach, Florida","29°11'24""N","81°05'22""W"
Milwaukee Bucks,Wesley Matthews,"San Antonio, Texas","29°25'30""N","98°29'38""W"
Boston Celtics,Carsen Edwards,"Houston, Texas","29°45'46""N","95°22'59""W"
Boston Celtics,Grant Williams,"Houston, Texas","29°45'46""N","95°22'59""W"
Brooklyn Nets,DeAndre Jordan,"Houston, Texas","29°45'46""N","95°22'59""W"
Cleveland Cavaliers,Sheldon Mac,"Houston, Texas","29°45'46""N","95°22'59""W"
Dallas Mavericks,Justin Jackson,"Houston, Texas","29°45'46""N","95°22'59""W"
Houston Rockets,Danuel House,"Houston, Texas","29°45'46""N","95°22'59""W"
Los Angeles Clippers,Johnathan Motley,"Houston, Texas","29°45'46""N","95°22'59""W"
Memphis Grizzlies,Justise Winslow,"Houston, Texas","29°45'46""N","95°22'59""W"
Miami Heat,Jimmy Butler,"Houston, Texas","29°45'46""N","95°22'59""W"
Minnesota Timberwolves,Jarred Vanderbilt,"Houston, Texas","29°45'46""N","95°22'59""W"
New York Knicks,Dameyan Dotson,"Houston, Texas","29°45'46""N","95°22'59""W"
Orlando Magic,Wesley Iwundu,"Houston, Texas","29°45'46""N","95°22'59""W"
Brooklyn Nets,Taurean Prince,"San Marcos, Texas","29°52'46""N","97°56'20""W"
New York Knicks,Elfrid Payton,"Gretna, Louisiana","29°54'59""N","90°03'15""W"
Chicago Bulls,Thaddeus Young,"New Orleans, Louisiana","29°57'00""N","90°04'48""W"
Orlando Magic,DJ Augustin,"New Orleans, Louisiana","29°57'00""N","90°04'48""W"
Orlando Magic,Melvin Frazier,"New Orleans, Louisiana","29°57'00""N","90°04'48""W"
Phoenix Suns,Kelly Oubre Jr.,"New Orleans, Louisiana","29°57'00""N","90°04'48""W"
Sacramento Kings,De'Aron Fox,"New Orleans, Louisiana","29°57'00""N","90°04'48""W"
New Orleans Pelicans,Josh Gray,"Lake Charles, Louisiana","30°12'53""N","93°12'31""W"
Memphis Grizzlies,Grayson Allen,"Jacksonville, Florida","30°20'13""N","81°39'41""W"
New York Knicks,Mitchell Robinson,"Pensacola, Florida","30°26'00""N","87°12'00""W"
